Month YR,Maximum Concurrent Users
Jan '13,0
Feb '13,0
Mar '13,0
April '13,0
May '13,0
June '13,0
July '13,0
Aug '13,0
Sept '13,0
Oct '13,0
Nov '13,0
Dec '13,6
Jan '14,17
Feb '14,28
Mar '14,31
April '14,32
May '14,47
June '14,48
July '14,44
Aug '14,47
Sept '14,49
Oct '14,42
Nov '14,53
Dec '14,62
Jan '15,69
Feb '15,69
Mar '15,106
April '15,82
May '15,86
June '15,99
July '15,99
Aug '15,106
Sept '15,115
Oct '15,131
Nov '15,140
Dec '15,153
Jan '16,157
Feb '16,164
Mar '16,185
April '16,193
May '16,207
June '16,209
July '16,211
Aug '16,219
Sept '16,220
Oct '16,228
Nov '16,280
Dec '16,282
Jan '17,248
Feb '17,251
Mar '17,259
Apr '17,263
May '17,270
Jun '17,277
Jul '17,278
Aug '17,278
Sep '17,239
Oct '17,249
Nov '17,258
Dec '17,263
Jan '18,276
Feb '18,278
Mar '18,102
Apr '18,110
May '18,124
June '18,129
July '18,130
